source,target,weight
AFG,NZL,7.013999999999999
AFG,CZE,9.182
AFG,JOR,7.916
AFG,UKR,1.5
AFG,AZE,2.58
AFG,SVK,0.784
AFG,BGR,7.906
AFG,JPN,11.685
AFG,POL,6.234
AFG,KOR,11.79
AGO,MEX,100.78695000000002
AGO,ARG,142.23015999999998
AGO,PAK,19.42765
AGO,GRC,18.4109
AGO,COL,152.95345
AGO,BWA,55.24059
AGO,NZL,2.0752
AGO,BEN,69.34205
AGO,BRN,22.32441
AGO,CZE,5.22136
AGO,LTU,1.85213
AGO,TCD,4.728680000000001
AGO,MLT,1.61746
AGO,DMA,0.6713600000000001
AGO,AFG,39.58579
AGO,IRL,37.373540000000006
AGO,MRT,45.36456
AGO,BOL,19.821539999999995
AGO,HUN,0.02488
AGO,UKR,60.81734
AGO,MLI,0.97907
AGO,GEO,6.2769200000000005
AGO,UGA,2.95852
AGO,KGZ,3.29743
AGO,BTN,1.6316299999999997
AGO,JAM,0.99011
AGO,AZE,9.92612
AGO,CAF,103.28369
AGO,BDI,1.88119
AGO,ATG,155.46739
AGO,GMB,3.9604
AGO,AUT,5.1236
AGO,SVK,0.36436
AGO,KWT,252.48816
AGO,SVN,7.77115
AGO,BGR,0.0769899999999999
AGO,SWE,213.8248299999999
AGO,QAT,5.29377
AGO,URY,0.9901
AGO,TGO,427.21717
AGO,MAR,35.252720000000004
AGO,DOM,54.8902
AGO,SWZ,4.89417
AGO,BHS,26.99458
AGO,ZWE,440.24083
AGO,LBN,271.16199
AGO,GNQ,329.39045
AGO,LAO,13.3664
AGO,SYC,16.104129999999998
AGO,ETH,340.63438
AGO,TUN,158.87933
AGO,POL,0.50297
AGO,ECU,52.54914
AGO,OMN,77.45470000000002
AGO,ALB,2.25913
AGO,SUR,0.57078
AGO,ARM,0.7305099999999999
AGO,TZA,120.15548
AGO,LBR,202.9060000000001
AGO,LUX,411.81699
ALB,GHA,16.241
ALB,NOR,0.846
ALB,IRL,1.825
ALB,KGZ,31.639
ALB,SVK,31.94
ARE,GRD,56.28385325794
ARE,KNA,336.5264663772
ARE,DMA,621.60855803552
ARE,GUY,645.8568179729601
ARE,BTN,141.04470861096
ARE,ATG,72.14863022048
ARE,WSM,718.9226296883398
ARE,LCA,52.656398879920005
ARE,VCT,130.42233995691998
ARE,KIR,129.25149754044
ARE,BHS,463.55746625232
ARE,TON,197.21225965562
ARE,ISL,982.42376629914
ARE,LAO,200.69467935748
ARE,LSO,373.86368922826006
ARG,GRD,354.78076
ARG,BWA,197.5
ARG,KNA,3.22022
ARG,TCD,145.92
ARG,DMA,172.95525
ARG,AFG,165.19721
ARG,KGZ,302.91234
ARG,BTN,6.669
ARG,CAF,526.7859
ARG,BDI,17.212
ARG,ATG,432.86469
ARG,GMB,136.60652
ARG,PNG,15.66485
ARG,MDV,688.3759
ARG,LCA,425.70315
ARG,GIN,200.3265
ARG,VCT,101.27427
ARG,TGO,274.39822000000004
ARG,SWZ,24.74053
ARG,ZWE,347.605
ARG,LAO,152.7978
ARG,SYC,441.9796
ARG,RWA,210.96225
ARG,TKM,59.35141
ARG,ZMB,388.63827
ARG,FJI,357.83919000000003
ARM,MEX,15.169
ARM,ARG,0.55
ARM,COL,4.595
ARM,NZL,25.358
ARM,MLT,7.902
ARM,IRL,8.136
ARM,FIN,9.828
ARM,BRA,13.094
ARM,BHR,0.249
ARM,NPL,1.0
ARM,QAT,3.825
ARM,URY,0.292
ARM,PAN,15.907
ARM,TGO,0.203
ARM,BGD,18.0
